id,x,y,z,vx,vy,vz,r,m
0,1.00901,0.3784,0.379793,0,0,1.65106,0.04,1
1,0.948677,1.2167,1.23505,15.2641,-4.1362,2.60076,0.04,1
2,1.75756,0.494886,0.690056,0,0,-3.92498,0.04,1
3,1.9394,1.3963,1.17337,0,0,-3.92498,0.04,1
4,0.807575,1.70946,0.271021,1.34976,-5.30207,15.8906,0.04,1
5,0.388481,0.578406,0.98295,0,0,-3.92498,0.04,1
6,1.5513,1.20539,0.42762,-2.95759,-13.6334,2.72412,0.04,1
7,0.81343,0.20368,0.00132073,4.4952,-1.4127,-10.9492,0.04,1
8,1.74159,1.27456,0.211559,0,0,3.93655,0.04,1
9,2.0193,0.578777,0.0629132,-1.07281,-2.6551,-2.02584,0.04,1
10,0.200436,0.0921099,0.526513,6.97232,-10.6968,-4.88652,0.04,1
11,1.36608,0.734725,0.716722,0,0,-3.92498,0.04,1
12,0.947202,1.11413,0.521829,8.07569,4.46836,13.1543,0.04,1
13,0.879493,1.9227,0.981662,0,0,-3.92498,0.04,1
14,0.416037,0.775721,0.972545,0,0,-3.92498,0.04,1
15,0.527684,1.07206,0.372635,0,0,2.20535,0.04,1
16,1.20983,1.53534,0.0831646,0,0,-3.92498,0.04,1
17,1.18512,0.136696,0.339739,9.90992,1.91303,-1.36066,0.04,1
18,1.32244,1.51021,1.00518,0,0,-3.92498,0.04,1
19,1.9923,1.29755,0.724476,5.60865,-5.26182,9.61956,0.04,1
20,1.33286,1.24702,0.300189,0,0,3.2674,0.04,1
21,1.88309,0.435415,0.873224,0,0,-3.92498,0.04,1
22,1.21402,1.70255,0.0612427,0,0,-3.92498,0.04,1
23,0.387576,0.201149,0.172986,-13.887,-2.34251,11.0818,0.04,1
24,0.490719,0.975154,0.358461,0,0,2.5306,0.04,1
25,0.799646,1.92421,0.0597603,0,0,-3.92498,0.04,1
26,0.912834,0.786047,0.720807,0,0,-3.92498,0.04,1
27,1.25712,0.79713,0.558202,0,0,-3.92498,0.04,1
28,1.5823,0.628123,0.308905,0,0,3.18237,0.04,1
29,0.192882,0.622421,1.12784,0,0,-3.92498,0.04,1
30,1.6757,0.988623,0.906827,0,0,-3.92498,0.04,1
31,0.254445,0.123906,0.870137,-0.311944,-5.04991,7.49359,0.04,1
32,1.87833,1.19086,0.157687,0,0,4.2668,0.04,1
