id,x,y,z,vx,vy,vz,r,m
0,0.779301,1.71604,1.70009,3.33497,16.1728,20.563,0.04,1
1,1.18986,1.70615,0.272627,3.79379,-13.6926,0.926208,0.04,1
2,1.84568,1.04444,0.773772,12.2768,12.831,-12.8072,0.04,1
3,1.9394,1.3963,1.51687,0,0,-2.94398,0.04,1
4,1.49423,1.90702,0.487538,15.2933,5.67878,12.6956,0.04,1
5,0.373745,0.56926,1.31925,-1.23715,-0.751888,-3.53188,0.04,1
6,0.992166,1.56692,0.602682,-8.57972,-3.83121,-4.49402,0.04,1
7,0.716734,0.434054,0.0085774,-5.60606,3.35872,17.9153,0.04,1
8,1.74953,-0.0704662,0.234844,1.34934,26.0249,8.2676,0.04,1
9,-0.0114096,0.199501,0.459595,8.61168,29.8092,8.91964,0.04,1
10,0.126228,0.183189,0.865156,0,0,-2.94398,0.04,1
11,1.36668,0.735577,1.05978,0.0522104,0.0730836,-2.98209,0.04,1
12,0.797784,1.47646,0.0465906,4.37768,6.16911,-9.98934,0.04,1
13,1.20361,1.72338,1.0392,7.17047,-8.9749,-9.27478,0.04,1
14,0.634817,0.519145,1.32996,11.0443,-15.8497,-1.93083,0.04,1
15,0.547616,1.1809,0.0192366,5.20086,3.69123,-3.62523,0.04,1
16,1.2814,1.25591,0.00192093,3.59362,-15.4043,-4.51025,0.04,1
17,1.30899,0.138942,0.446267,-2.53144,10.6449,-12.0125,0.04,1
18,1.40686,1.54444,1.38035,8.76132,2.8394,0.990647,0.04,1
19,1.72959,1.63461,0.254778,30.7271,9.4957,14.3511,0.04,1
20,1.5208,1.47035,0.0942971,3.88649,5.54659,-2.50729,0.04,1
21,1.53868,0.452614,1.69395,-14.1104,2.77053,13.3749,0.04,1
22,1.20393,1.67844,0.401208,-7.02345,2.00854,-3.75821,0.04,1
23,0.438799,1.91051,1.10078,20.0647,18.6658,33.7601,0.04,1
24,1.14994,1.44813,0.304751,13.8396,12.7945,7.30326,0.04,1
25,1.50962,0.856013,1.04644,12.6959,-15.181,7.6383,0.04,1
26,0.586314,1.33256,0.893607,-7.82059,2.34787,0.343346,0.04,1
27,1.25632,0.817382,0.907501,-0.0415798,1.14872,-2.61101,0.04,1
28,1.73201,0.106762,0.394829,-6.95727,-9.83556,1.3107,0.04,1
29,0.159222,0.518578,1.38766,-0.977634,-2.37055,-1.21533,0.04,1
30,1.70854,0.643596,1.37598,1.24721,-9.77174,0.661295,0.04,1
31,0.214872,0.336649,0.848892,0,0,-2.94398,0.04,1
32,1.89837,1.79922,0.0329102,-1.43019,18.6847,0.675301,0.04,1
33,1.54393,1.12453,1.45294,7.34927,-5.80384,-10.8994,0.04,1
34,1.66245,1.28244,0.750555,5.72809,-14.2694,3.91129,0.04,1
35,1.20327,0.449199,0.529091,-4.12747,12.8754,-7.15636,0.04,1
36,1.88888,1.1865,0.0635446,2.70663,11.9829,8.35651,0.04,1
37,1.31154,1.80824,1.73036,-5.13772,0.338344,16.9662,0.04,1
38,0.944719,0.99706,0.167685,20.2143,-52.811,3.54429,0.04,1
39,0.437662,0.930346,1.05666,0,0,-2.94398,0.04,1
40,1.72187,1.73401,0.45502,4.3356,1.0514,-5.55565,0.04,1
41,1.82746,0.635023,0.135225,-26.3841,60.5078,10.2696,0.04,1
42,0.972312,0.104117,1.28513,-11.0195,-4.46077,-24.6991,0.04,1
43,0.197648,0.0484878,1.33473,0,0,-2.94398,0.04,1
44,1.75766,0.864749,0.72892,-5.53261,1.42554,-6.65737,0.04,1
45,1.52684,-0.00287427,0.667728,9.28237,-3.9801,4.02924,0.04,1
46,0.230823,1.34275,1.36263,0,0,-2.94398,0.04,1
47,1.23845,0.85724,1.66645,16.2382,32.5408,-38.298,0.04,1
48,0.264756,1.87402,1.02907,-9.91234,0.400291,7.50749,0.04,1
49,1.05005,1.91917,0.459082,9.39887,-7.02908,-5.50466,0.04,1
50,0.410966,0.116266,0.0251108,-11.3911,2.26434,5.68596,0.04,1
51,1.12914,1.54524,0.953671,-7.75406,16.2904,-2.35596,0.04,1
52,0.956268,0.181789,1.50465,0,0,-2.94398,0.04,1
53,1.68317,0.461874,0.647976,-3.58309,0.105128,-6.88097,0.04,1
54,0.299584,0.255281,0.0197754,0.667303,4.06812,5.96173,0.04,1
55,1.04146,1.90819,0.691489,7.20948,-46.8145,-14.1473,0.04,1
56,1.74569,1.72323,1.22575,-0.843985,-4.18953,8.90087,0.04,1
57,0.344734,1.6298,0.375433,38.9357,15.6997,-0.870953,0.04,1
58,0.678533,1.0865,0.400373,-17.5167,11.4763,-7.17865,0.04,1
59,0.0335747,0.839617,0.840913,6.30725,11.8146,13.3088,0.04,1
60,1.48002,0.30785,1.55248,7.07654,-8.40242,5.52382,0.04,1
61,1.30552,0.0812251,0.48307,7.7289,-15.0263,6.1625,0.04,1
62,1.42769,0.809621,0.672507,0,0,-2.94398,0.04,1
63,0.27816,1.61996,0.875,-19.565,-38.2422,9.70665,0.04,1
64,1.83468,0.496865,0.110886,11.6434,0.92696,14.3824,0.04,1
65,0.436507,1.35475,1.29282,0,0,-2.94398,0.04,1
66,1.09716,0.610053,0.858771,-1.04414,1.45444,-2.65156,0.04,1
67,1.15472,0.780739,1.23649,-0.995948,0.202935,-2.67049,0.04,1
68,1.44155,0.850499,1.48835,-3.09947,-4.02672,16.9226,0.04,1
69,1.12244,0.912754,0.592087,10.7458,14.5846,-4.7614,0.04,1
70,1.44504,1.63324,0.783047,3.56779,-6.58011,0.663597,0.04,1
71,0.97016,1.55765,1.17032,-17.3013,-29.8592,22.1321,0.04,1
