time,KE,contacts,N
0.00000000,0.00048118,-1,1000
0.05000000,120.42092736,-1,1000
0.10000000,1266.86518770,-1,1000
0.15000000,7080.63176312,-1,1000
0.20000000,25666.73663838,-1,1000
0.25000000,80444.66377947,-1,1000
0.30000000,206733.25367617,-1,1000
0.35000000,434003.10596715,-1,1000
0.40000000,869298.98067120,-1,1000
0.45000000,1974942.49314609,-1,1000
0.50000000,6254283.71258184,-1,1000
