id,x,y,z,vx,vy,vz,r,m
0,0.753672,0.250211,0.597062,-9.92095,-4.98077,3.97047,0.04,1
1,1.50728,0.745291,1.44612,-16.8806,-13.7395,0.483509,0.04,1
2,1.16125,0.718005,0.277971,-10.9912,4.11251,-3.98001,0.04,1
3,1.9394,1.3963,0.731773,0,0,-4.90598,0.04,1
4,1.9882,1.33509,1.75974,10.3911,-3.61065,14.2301,0.04,1
5,0.388481,0.578406,0.541353,0,0,-4.90598,0.04,1
6,1.05832,0.0607923,0.247396,-5.23692,-11.0368,-2.94681,0.04,1
7,1.24348,0.0627236,1.71499,1.51312,-1.46954,14.7025,0.04,1
8,1.46661,1.24853,0.56537,-12.6293,-1.20039,5.10749,0.04,1
9,0.0139124,0.128072,0.115387,-7.87665,-18.6043,-4.55092,0.04,1
10,0.684104,0.847494,0.652148,3.09312,7.17953,5.44825,0.04,1
11,1.47067,0.729047,0.187048,5.61567,-0.384318,-9.38681,0.04,1
12,1.75477,1.56097,1.78816,8.07569,4.46836,12.1733,0.04,1
13,0.879493,1.9227,0.540065,0,0,-4.90598,0.04,1
14,0.416037,0.775721,0.530948,0,0,-4.90598,0.04,1
15,0.848337,0.800449,0.584292,9.39198,-7.12593,2.40179,0.04,1
16,1.20983,1.53534,0.413887,0,0,4.33722,0.04,1
17,1.53105,0.0783991,0.259492,-0.803773,-2.15051,9.52962,0.04,1
18,0.922334,1.23677,1.0082,-6.30001,-7.73848,12.9069,0.04,1
19,1.05436,0.0436791,1.47578,-8.2913,-15.7573,6.14566,0.04,1
20,1.23493,1.69494,0.252024,-0.643261,4.26165,-8.5219,0.04,1
21,1.88816,0.420299,0.432728,0.286549,-0.87008,-4.8406,0.04,1
22,1.27834,1.51414,0.883738,0.646265,-1.41416,17.8365,0.04,1
23,1.14945,0.11758,1.25544,1.99671,5.51057,11.8763,0.04,1
24,0.112921,0.656088,0.254142,-7.83235,-6.61475,-5.55315,0.04,1
25,0.799646,1.92421,0.433919,0,0,4.21926,0.04,1
26,0.912834,0.786047,0.27921,0,0,-4.90598,0.04,1
27,1.32587,1.05129,0.0333159,3.06288,8.73824,13.1395,0.04,1
28,1.52173,0.614149,0.562039,-11.23,-2.87927,0.721336,0.04,1
29,0.192882,0.622421,0.686246,0,0,-4.90598,0.04,1
30,1.78095,0.607564,0.954596,1.29351,-4.91714,1.44368,0.04,1
31,0.833945,0.593297,0.868579,13.1207,7.2333,-1.53565,0.04,1
32,1.74498,1.31228,0.331779,-0.27778,4.85278,13.0491,0.04,1
33,1.64066,0.918591,0.65827,5.88791,-13.1274,-5.48776,0.04,1
34,1.34929,1.62887,0.467904,0,0,3.94446,0.04,1
35,1.25355,0.155331,0.234252,0,0,5.30887,0.04,1
36,1.59083,0.0877297,0.565154,0,0,2.77272,0.04,1
37,1.44806,1.86171,0.272925,0,0,5.144,0.04,1
38,1.25967,0.0436855,1.62927,13.2246,-4.41151,9.97584,0.04,1
39,0.499198,1.53442,0.542946,4.11621,21.3896,3.58013,0.04,1
40,1.75801,1.16245,0.451167,-0.0851266,-3.93737,4.08075,0.04,1
41,1.6925,1.97524,0.0867782,-2.65825,9.89108,-9.53139,0.04,1
42,1.67143,0.137377,0.270955,0,0,5.14153,0.04,1
43,1.14876,0.105237,1.22809,25.6982,-1.90071,1.3668,0.04,1
44,1.88284,0.837361,0.0276514,-0.211584,0.458039,-3.87532,0.04,1
45,1.93639,1.98333,0.548389,-15.5296,14.2968,2.75121,0.04,1
46,0.230823,1.34275,0.577534,0,0,-4.90598,0.04,1
47,0.854941,1.39408,0.194888,-4.6721,-10.337,-0.238007,0.04,1
48,0.240838,1.13553,0.477439,3.15352,-1.64626,-8.77808,0.04,1
49,0.684937,1.83625,0.272326,0,0,5.12539,0.04,1
50,0.88908,0.0633195,0.186251,0,0,-1.15163,0.04,1
51,1.36275,0.928673,0.364794,0,0,-4.90598,0.04,1
52,0.956268,0.181789,0.719552,0,0,-4.90598,0.04,1
53,1.89396,0.504662,0.143424,0,0,5.68948,0.04,1
54,1.12725,1.33464,0.407719,11.5676,-28.3987,0.0702373,0.04,1
55,0.602929,1.77089,2.00793,19.3238,18.3843,-7.21938,0.04,1
56,1.79983,1.52491,0.353541,2.86184,-8.89242,3.18317,0.04,1
57,0.264222,0.48071,0.238802,-4.13858,8.99875,4.26249,0.04,1
58,1.60484,0.383995,0.463994,0,0,0.392532,0.04,1
59,0.301748,0.234621,0.199412,-2.86318,8.43993,4.46973,0.04,1
60,1.12462,0.272594,0.464641,0,0,-4.90598,0.04,1
61,1.86327,0.687348,0.554245,0,0,1.38223,0.04,1
62,1.90807,0.609699,1.33584,-5.58553,-4.82081,9.79632,0.04,1
63,1.57541,0.98499,0.165437,23.973,-2.12407,-4.08874,0.04,1
64,0.447346,0.277243,0.428655,1.49281,-7.92314,-1.42473,0.04,1
65,0.457089,1.58533,1.85316,7.19762,1.67676,5.05726,0.04,1
66,1.10892,0.593342,0.0698497,0,0,-4.90598,0.04,1
67,1.24842,0.535085,0.299244,1.85079,-8.57884,-7.85894,0.04,1
68,1.40011,0.925376,0.0436417,0,0,2.13468,0.04,1
69,1.01397,0.748348,0.195079,0,0,5.49204,0.04,1
70,1.1228,1.84573,0.186163,3.46763,-0.303466,4.2192,0.04,1
71,1.55848,0.600758,0.485625,8.02428,-8.21311,-1.67318,0.04,1
72,0.103095,0.79889,0.110921,0,0,-0.556203,0.04,1
73,1.71965,0.241466,0.072814,0,0,-4.90598,0.04,1
74,0.913761,1.52439,0.632625,0,0,-4.90598,0.04,1
75,0.710086,0.0427909,0.428439,-2.56382,-11.8839,-3.20797,0.04,1
76,1.78238,0.503591,0.663456,-6.19284,7.21079,3.24669,0.04,1
77,0.791278,0.536103,0.0661908,8.25826,-3.83399,10.5453,0.04,1
78,1.90064,1.24208,1.07361,-6.19228,3.57389,13.3104,0.04,1
79,0.899696,1.13734,0.231675,0,0,-4.90598,0.04,1
80,0.511653,0.359796,0.0819091,-12.5636,-6.04323,2.24018,0.04,1
81,0.490387,0.444845,0.271823,-3.84589,-14.833,8.71184,0.04,1
82,0.0885797,0.796458,0.758056,6.74664,-11.6075,19.1991,0.04,1
83,1.66639,1.9074,0.0623026,23.8607,-14.4526,-4.66601,0.04,1
84,1.0708,1.7068,1.15967,-11.789,-31.1829,36.4505,0.04,1
