id,x,y,z,vx,vy,vz,r,m
0,0.761539,0.190682,0.344291,5.19113,1.02606,22.0049,0.04,1
1,0.521445,1.21586,0.165752,-15.2217,-11.7599,8.11633,0.04,1
2,1.75756,0.494886,1.36486,0,0,-1.47248,0.04,1
3,1.9394,1.3963,1.84818,0,0,-1.47248,0.04,1
4,0.621546,0.853588,0.806291,-3.28553,-29.725,26.6886,0.04,1
5,0.388481,0.578406,1.65776,0,0,-1.47248,0.04,1
6,1.719,1.3862,0.392965,11.6898,-0.876298,8.09716,0.04,1
7,0.922772,-0.00248384,0.852336,15.0578,0.842595,-5.22402,0.04,1
8,2.03922,0.793459,0.288123,-1.22865,-28.497,-13.8397,0.04,1
9,0.0813492,1.52405,0.905426,-55.2307,-26.8759,29.1835,0.04,1
10,0.126228,0.183189,1.19646,0,0,-1.47248,0.04,1
11,1.36545,0.735154,1.39148,-0.556676,0.778022,-1.6332,0.04,1
12,0.694028,0.836909,0.529645,15.3461,-4.08543,-14.2156,0.04,1
13,0.879493,1.9227,1.65647,0,0,-1.47248,0.04,1
14,0.386829,0.733264,1.62612,-8.10608,-9.04692,5.56448,0.04,1
15,0.674439,0.973339,0.666579,0.482079,2.32618,8.72631,0.04,1
16,1.12511,1.41901,0.899097,-5.37862,-12.3788,9.84832,0.04,1
17,0.888485,0.251136,1.1508,-12.2451,6.45443,15.7674,0.04,1
18,1.32244,1.51021,1.67999,0,0,-1.47248,0.04,1
19,0.374303,1.45548,0.377389,-16.4759,7.92594,8.48945,0.04,1
20,1.60595,0.381173,0.168372,7.41351,-41.207,-8.84725,0.04,1
21,1.90216,0.450763,1.40604,1.86411,5.89724,-20.917,0.04,1
22,1.43885,1.52654,0.78949,17.3306,-8.16661,2.87436,0.04,1
23,0.383471,-0.0085463,1.33362,-37.4262,-13.8899,57.8159,0.04,1
24,0.0926298,0.825853,0.83393,26.0975,-7.90736,50.0438,0.04,1
25,0.792432,1.81701,0.697415,-7.81363,6.5586,-14.4884,0.04,1
26,0.946708,0.852218,1.54983,-4.28769,-5.79204,-4.74514,0.04,1
27,1.31631,0.755161,1.2554,3.36333,1.49339,3.61699,0.04,1
28,1.63638,0.644307,0.545714,-7.37277,-4.62039,22.4399,0.04,1
29,0.194144,0.621861,1.80279,0.543554,-0.248108,-1.40495,0.04,1
30,1.66998,0.985259,1.58284,-2.70221,-1.7219,-0.756369,0.04,1
31,0.370891,0.320362,1.30503,16.804,-0.841095,10.9981,0.04,1
32,1.1002,1.7366,0.373719,-27.8958,15.1654,35.4103,0.04,1
33,1.52452,1.12738,1.81059,0,0,-1.47248,0.04,1
34,1.35524,1.69938,0.653625,3.23001,8.32125,-3.1766,0.04,1
35,0.825228,-0.00139827,0.943943,-15.0917,-2.94324,1.9482,0.04,1
36,1.70683,0.239627,0.798767,7.74249,9.83907,2.27903,0.04,1
37,1.616,1.72859,0.754478,12.7174,-7.04743,-2.08392,0.04,1
38,-0.0187242,0.209084,0.562371,4.53624,-30.188,30.273,0.04,1
39,0.429324,0.938887,1.38324,-1.78302,1.91644,-2.66923,0.04,1
40,1.62424,1.8779,0.822016,-6.25749,-3.31061,-0.929166,0.04,1
41,0.875425,0.759805,0.0756655,-20.7117,-15.3078,21.2213,0.04,1
42,1.77709,0.403921,0.901306,1.56818,21.5352,-3.88592,0.04,1
