id,x,y,z,vx,vy,vz,r,m
0,0.934793,0.667818,2.14541,8.10604,36.6669,-29.6826,0.04,1
1,0.847149,0.75808,1.20069,54.1745,-4.87164,30.4112,0.04,1
2,1.53681,0.590062,0.930861,-0.118134,-8.91138,-21.5035,0.04,1
3,1.67415,1.31068,1.9925,-14.4701,4.07629,16.8575,0.04,1
4,0.4411,0.96973,1.84799,-1.1891,52.5397,-56.4787,0.04,1
5,0.733655,0.449471,1.88945,17.6971,-13.7563,-12.2855,0.04,1
6,1.96825,0.812679,1.69812,0.426394,-31.9959,53.4046,0.04,1
7,2.05194,0.12984,0.163498,-13.2114,30.777,-24.0486,0.04,1
8,-0.086272,1.18751,0.325464,-53.4931,69.0673,15.7439,0.04,1
9,0.56507,0.654545,1.94911,-162.277,-16.1452,-27.7949,0.04,1
10,-0.00185757,0.19595,0.931311,-12.01,-10.1938,-16.4375,0.04,1
11,0.735999,1.05554,0.000258628,-19.7801,14.4085,-34.1301,0.04,1
12,1.17863,0.557821,0.758695,14.2101,-10.508,54.7022,0.04,1
13,0.545801,1.00514,1.62441,-9.54142,-35.5712,-5.18233,0.04,1
14,0.162491,1.04114,1.50937,20.3702,5.61762,-23.2451,0.04,1
15,0.873451,0.799448,0.845781,21.0729,-20.5398,-7.29014,0.04,1
16,0.697321,0.8332,1.48199,-6.7515,-22.4624,16.7986,0.04,1
17,0.602468,0.444727,1.9084,-0.867957,1.10041,-43.5034,0.04,1
18,1.01481,1.3961,1.32751,-17.0663,-9.42731,-15.8989,0.04,1
19,0.330874,1.69305,1.16403,24.5642,-24.9495,27.47,0.04,1
20,1.74268,2.22351,0.307711,-22.0006,-37.8181,8.53874,0.04,1
21,-0.184658,1.77358,0.620787,-20.9544,33.648,-28.5198,0.04,1
22,1.39174,0.282946,-0.0374561,-32.7401,77.3161,-9.90723,0.04,1
23,1.57312,1.1579,0.260186,53.1337,27.7198,152.132,0.04,1
24,2.13031,0.517146,-0.367688,-28.9261,-17.9835,-24.1543,0.04,1
25,0.505655,1.84259,0.445851,-6.6862,-10.7572,46.1156,0.04,1
26,0.326475,0.162673,1.91588,-21.4975,-25.0647,12.9949,0.04,1
27,1.9128,0.955817,1.44697,-43.5336,11.2759,-67.4616,0.04,1
28,0.430296,0.388877,1.90137,-50.4329,-9.07464,25.605,0.04,1
29,0.262809,1.22439,1.76344,2.45353,32.9841,-4.78147,0.04,1
30,1.47656,0.143325,0.10702,3.29221,-21.9717,-55.1053,0.04,1
31,1.88725,0.689697,1.61872,32.3493,-0.050342,-33.4715,0.04,1
32,0.414849,1.29117,1.75384,47.9391,-23.3135,-70.3495,0.04,1
33,1.00099,0.395022,1.20353,-32.261,-29.5094,-18.3995,0.04,1
34,0.599303,1.82064,-0.0035617,-17.1608,-19.9487,22.6998,0.04,1
35,0.148922,0.901322,0.285687,-15.369,30.6464,-15.3778,0.04,1
36,1.79007,1.03612,-0.0399078,-14.3798,13.0641,22.8691,0.04,1
37,1.57659,1.91041,1.62747,-34.3507,26.7125,26.9118,0.04,1
38,1.43804,2.31797,1.75167,40.8648,22.217,29.361,0.04,1
39,0.426177,1.26428,1.01721,18.1459,10.2614,-25.7328,0.04,1
40,1.71639,1.38216,0.674204,-27.9967,-6.70815,-8.18436,0.04,1
41,0.495898,-0.013618,1.98185,52.5622,-14.9544,60.1031,0.04,1
42,1.61722,2.18419,1.21399,-0.709536,1.45954,13.2285,0.04,1
43,0.604554,0.371399,1.64052,11.023,29.8515,-9.69974,0.04,1
44,1.86566,0.805256,1.34928,-14.7428,-13.488,9.67723,0.04,1
45,0.476281,0.119078,0.518828,-19.4187,7.96736,14.9076,0.04,1
46,0.394636,1.82555,1.90934,6.99475,-55.2282,-17.8851,0.04,1
47,0.147063,0.878191,1.27716,-10.1296,-29.6497,37.0277,0.04,1
48,0.234241,1.8402,0.897572,5.70051,25.0021,10.1222,0.04,1
49,0.41191,1.75372,0.640371,1.23639,3.64798,-16.5122,0.04,1
50,0.385432,1.12172,2.10635,-8.79077,36.9281,-32.041,0.04,1
51,0.755981,0.783688,2.02898,-20.3785,-7.16925,-34.6034,0.04,1
52,0.957717,0.0418852,1.41943,-9.47211,-13.5292,-10.5698,0.04,1
53,1.38879,0.0805534,1.32396,-20.7839,-25.9611,15.1112,0.04,1
54,0.138482,0.0399481,0.218991,-7.8077,121.611,0.150801,0.04,1
55,-0.00831859,0.197816,1.39345,-83.4075,-72.3518,10.1013,0.04,1
56,1.85736,1.97863,0.730587,4.58278,-3.86336,-18.4196,0.04,1
57,-0.0824587,1.80688,1.20783,133.148,-82.1098,7.48018,0.04,1
58,0.901927,1.96578,0.84115,63.5942,27.7948,33.1677,0.04,1
59,1.89535,2.00217,2.04672,51.0216,34.1856,-62.1701,0.04,1
60,1.38248,0.476128,1.35957,5.12618,15.5183,-17.5908,0.04,1
