time,KE,contacts,N
0.00000000,0.00009624,0,200
0.05000000,24.07755831,0,200
0.10000000,315.75533581,0,200
0.15000000,419.74185686,0,200
0.20000000,718.89360985,0,200
0.25000000,1633.34726566,2,200
0.30000000,2547.34570800,5,200
0.35000000,4015.52599999,1,200
0.40000000,7433.11413156,7,200
0.45000000,12364.62049527,9,200
0.50000000,18301.58224984,10,200
