id,x,y,z,vx,vy,vz,r,m
0,1.72169,1.30485,1.65846,-3.17175,-21.1857,13.4157,0.04,1
1,0.815524,0.554809,0.865283,-2.20811,-12.6436,1.58741,0.04,1
2,1.76728,0.685695,0.579415,1.19518,2.8021,15.0473,0.04,1
3,1.81739,1.86596,1.19464,-1.56173,3.95365,-1.45743,0.04,1
4,1.62151,1.4464,1.59974,-0.0245073,-22.7126,-67.4435,0.04,1
5,0.0797003,0.373761,0.216794,22.6615,0.727733,-14.3695,0.04,1
6,0.565088,1.70547,1.38412,-33.5886,23.8542,-17.1509,0.04,1
7,1.24146,0.434694,0.451195,-0.241375,18.9394,1.83104,0.04,1
8,1.86098,1.67814,1.53917,-1.51181,-5.1902,-25.0226,0.04,1
9,-0.0203123,2.09279,1.60198,-81.4309,-173.376,3.1088,0.04,1
10,0.0298334,0.508345,0.800845,-1.51174,3.4028,22.7589,0.04,1
11,0.840175,1.5788,0.351914,-13.8842,-3.71993,0.691045,0.04,1
12,1.35815,0.162493,1.86999,16.1701,11.4003,-24.9899,0.04,1
13,0.901058,1.53427,1.62674,0.461541,-4.19804,4.60109,0.04,1
14,0.198973,1.89117,0.0482006,0.360095,-16.3811,-8.86768,0.04,1
15,0.414603,0.834518,1.75485,6.20652,5.97468,-9.77587,0.04,1
16,0.89223,1.17199,0.314623,-6.70458,-5.3897,1.72806,0.04,1
17,1.37896,1.19576,1.6061,-4.36177,8.70785,10.2092,0.04,1
18,1.56593,1.86958,0.470439,6.35017,-6.08272,-5.86279,0.04,1
19,1.65061,0.972307,1.39439,-23.7101,-1.57666,2.27363,0.04,1
20,0.855372,0.994183,0.610941,-8.17481,42.2222,33.0139,0.04,1
21,1.53017,0.200675,1.97014,-1.56993,9.41856,-20.8948,0.04,1
22,0.116819,0.981944,0.190575,-26.58,-20.059,-6.86416,0.04,1
23,1.27345,0.48981,0.648418,-2.87072,-32.0549,-18.7241,0.04,1
24,1.84598,1.89364,0.609503,16.8232,-7.94504,-38.0353,0.04,1
25,1.45236,1.61647,1.15557,2.31818,-10.0132,7.64779,0.04,1
26,1.00701,0.671537,0.0570096,3.57032,17.9095,2.9585,0.04,1
27,1.80519,0.884252,0.134662,8.1576,1.40032,8.48288,0.04,1
28,1.23255,1.40155,1.70915,-60.0132,15.3931,12.25,0.04,1
29,1.23484,0.103975,0.632295,3.10013,-5.5585,-5.48383,0.04,1
30,1.51853,1.86472,1.46246,13.9669,-23.0168,12.2086,0.04,1
31,0.309854,0.788258,1.85746,-20.8194,2.32959,-5.90939,0.04,1
32,0.802289,0.252701,0.428419,-2.51854,3.22844,9.15071,0.04,1
33,0.504992,1.49609,1.61308,7.69483,4.24146,25.4446,0.04,1
34,1.47552,0.768442,0.170793,2.46243,-21.5397,1.87832,0.04,1
35,0.697606,2.05289,0.336378,26.2958,-12.3242,-13.3626,0.04,1
36,1.35635,0.794337,0.591375,2.34901,4.54331,-4.84498,0.04,1
37,1.33209,1.03185,1.70061,25.0034,-8.14576,6.16412,0.04,1
38,0.193803,1.40985,0.781977,-21.3996,-9.89464,-15.3853,0.04,1
39,1.5682,0.810867,0.544838,6.61514,-2.29323,22.9471,0.04,1
40,1.49288,1.33562,0.715471,4.58357,-8.21415,17.798,0.04,1
41,1.6699,1.9576,0.293722,1.08811,113.452,-14.4881,0.04,1
42,0.506622,0.702893,0.922099,-7.73339,1.24441,1.68657,0.04,1
43,0.173359,0.0369481,0.574907,-1.61236,0.00861256,-3.2102,0.04,1
44,1.32677,1.02493,1.56179,-14.6557,4.00866,19.0966,0.04,1
45,1.33448,0.10081,1.1214,-0.164771,4.41796,-32.5087,0.04,1
46,0.584571,0.700742,0.339181,1.9217,20.134,13.3776,0.04,1
47,0.235407,1.43918,0.588132,-1.2911,-4.87773,-15.0046,0.04,1
48,2.0239,0.198897,0.839062,7.77642,92.3813,10.0809,0.04,1
49,0.505076,1.87971,0.29828,0.147049,-1.81116,11.3213,0.04,1
50,0.986242,1.78962,1.97073,-32.9778,8.69226,8.80714,0.04,1
51,0.384243,0.662526,0.324359,3.75049,-16.6186,-5.16838,0.04,1
52,0.957923,0.198607,0.705559,0.0207637,0.210752,-5.0812,0.04,1
53,1.89979,0.599493,0.788258,-2.47726,0.503737,0.978131,0.04,1
54,1.05422,1.31797,1.36372,6.84109,24.9033,13.242,0.04,1
55,-0.0144604,-1.18999,0.28192,2.41774,-27.6937,-29.8598,0.04,1
56,0.942597,1.53669,0.736232,-10.4921,-5.26635,-0.606052,0.04,1
57,0.130934,0.786222,0.0764407,6.23857,16.1732,-7.65097,0.04,1
58,0.558102,0.783845,0.16522,-8.52796,11.0383,3.34934,0.04,1
59,1.61206,1.83094,1.22003,-22.1166,-11.1215,19.9638,0.04,1
60,0.901361,0.778977,0.0651633,-2.8937,-4.67541,-16.3483,0.04,1
61,1.58467,0.0675446,1.83779,-39.0363,37.0012,4.17164,0.04,1
62,0.670679,1.58876,0.762285,-11.6315,2.64406,-1.15647,0.04,1
63,1.05894,1.1844,1.2722,13.7664,15.543,-12.4418,0.04,1
64,1.33856,0.339047,0.541659,8.98245,-7.85707,9.83251,0.04,1
65,0.465163,1.64976,1.45379,-10.2669,10.0015,1.65362,0.04,1
66,1.90806,0.80623,0.924327,-14.0286,24.1639,-2.7807,0.04,1
67,0.704836,1.1146,0.651034,1.67184,12.5788,1.35112,0.04,1
68,1.55861,1.37164,0.531005,3.74796,-13.9223,25.9538,0.04,1
69,1.16307,0.556651,1.73712,8.04606,4.7399,-21.5493,0.04,1
70,0.259243,1.17982,0.271696,18.2868,-11.973,10.6902,0.04,1
71,0.466575,0.94991,1.81267,20.747,-2.8247,4.44796,0.04,1
72,1.22508,0.692525,0.436981,9.76235,17.6472,11.3969,0.04,1
73,1.67754,0.528012,1.61885,-12.0872,-12.9766,16.0892,0.04,1
74,1.14441,1.91828,0.757104,9.5806,17.5557,0.580333,0.04,1
75,1.49282,0.455039,0.575818,-17.4047,4.99795,3.86487,0.04,1
76,0.0891161,1.71349,0.237472,24.2408,-21.0862,-22.0687,0.04,1
77,0.655031,1.12907,0.136138,2.85285,8.43694,7.70937,0.04,1
78,1.9354,0.859608,0.234417,-7.95836,-3.56962,18.1853,0.04,1
79,0.924868,1.10102,0.163087,1.7318,-2.06702,-8.78109,0.04,1
80,0.410013,1.09983,1.15162,11.9697,-6.23093,5.03145,0.04,1
81,1.52866,0.874873,1.13337,4.54837,-28.5121,-10.3373,0.04,1
82,1.38871,1.45991,0.971141,18.815,-16.5034,20.8107,0.04,1
83,2.00741,1.47019,0.823927,-3.72658,-12.7245,15.914,0.04,1
84,0.688151,0.70007,0.265122,26.5369,110.436,-11.1636,0.04,1
85,0.129365,1.26303,0.106661,-7.7032,3.68903,15.3687,0.04,1
86,0.918204,1.41533,0.612512,-16.647,19.0011,6.63317,0.04,1
87,1.41445,1.15872,0.668684,5.31613,18.1953,3.42265,0.04,1
88,0.716255,1.82546,0.590312,-4.59092,-6.09423,22.1699,0.04,1
89,1.03346,-0.150958,0.345956,-6.55804,-81.6431,0.618923,0.04,1
90,1.19206,1.28465,1.05499,13.6526,9.34687,-12.726,0.04,1
91,1.85313,0.161086,0.172599,8.98457,-8.34359,2.93994,0.04,1
92,0.802704,0.787401,1.55511,-2.37016,-40.6826,-31.3218,0.04,1
93,2.00405,0.0724182,0.418374,-15.963,10.4088,19.8598,0.04,1
94,0.205433,1.99312,0.0718403,14.3202,16.2453,-2.98492,0.04,1
95,0.570161,1.84728,0.00106438,-10.1085,-13.5126,-10.6273,0.04,1
96,0.229784,1.13199,0.490186,0,0,-4.90598,0.04,1
97,1.40702,1.99721,1.57306,-14.2884,-11.9818,-29.9972,0.04,1
98,0.408248,0.173281,0.152955,3.28335,6.14286,11.1138,0.04,1
99,1.03114,0.982607,1.04748,-8.24648,-7.42781,-88.7074,0.04,1
100,1.29243,0.415646,0.65066,-15.9735,-11.0877,-3.25997,0.04,1
101,1.86201,1.34876,0.449481,-11.5113,6.96795,-1.48418,0.04,1
102,0.251156,0.805571,0.0603726,-10.5472,-7.78085,3.36938,0.04,1
103,1.2837,0.817524,1.37738,-2.54964,2.14198,-22.5362,0.04,1
104,1.54644,1.87594,1.44501,-34.5867,8.5244,3.89806,0.04,1
105,1.47703,1.80783,0.843344,27.9406,-0.306075,0.0536638,0.04,1
106,0.790749,1.16802,1.64316,-14.48,9.71488,-41.6832,0.04,1
107,1.92658,1.34549,1.85718,-12.3408,-10.5782,24.2299,0.04,1
108,1.6735,-0.00465254,1.54674,10.9531,13.28,2.5777,0.04,1
109,0.136678,2.01262,1.01084,-2.87637,-10.6339,9.74124,0.04,1
