id,x,y,z,vx,vy,vz,r,m
0,1.00901,0.3784,0.287563,0,0,-0.981981,0.04,1
1,0.894608,1.48254,0.0893521,0,0,-0.981981,0.04,1
2,1.75756,0.494886,1.42625,0,0,-0.981981,0.04,1
3,1.9394,1.3963,1.90956,0,0,-0.981981,0.04,1
4,0.585284,1.42799,0.361247,0,0,-0.981981,0.04,1
5,0.388481,0.578406,1.71914,0,0,-0.981981,0.04,1
6,1.67029,1.53556,0.184755,0,0,-0.981981,0.04,1
7,0.733184,0.232328,0.985235,0,0,-0.981981,0.04,1
8,1.74159,1.27456,0.587131,0,0,-0.981981,0.04,1
9,1.30488,1.83298,0.223909,0,0,-0.981981,0.04,1
10,0.126228,0.183189,1.25785,0,0,-0.981981,0.04,1
11,1.36608,0.734725,1.45291,0,0,-0.981981,0.04,1
12,0.368922,0.794165,0.802446,0,0,-0.981981,0.04,1
13,0.879493,1.9227,1.71785,0,0,-0.981981,0.04,1
14,0.416037,0.775721,1.70874,0,0,-0.981981,0.04,1
15,0.527684,1.07206,0.350689,0,0,-0.981981,0.04,1
16,1.20983,1.53534,0.819356,0,0,-0.981981,0.04,1
17,1.08471,0.113285,1.05821,0,0,-0.981981,0.04,1
18,1.32244,1.51021,1.74137,0,0,-0.981981,0.04,1
19,0.779963,1.4658,0.306923,0,0,-0.981981,0.04,1
20,1.33286,1.24702,0.487542,0,0,-0.981981,0.04,1
21,1.88309,0.435415,1.60942,0,0,-0.981981,0.04,1
22,1.21402,1.70255,0.797434,0,0,-0.981981,0.04,1
23,1.21759,0.495398,0.0451553,0,0,1.01939,0.04,1
24,0.490719,0.975154,0.390528,0,0,-0.981981,0.04,1
25,0.799646,1.92421,0.795952,0,0,-0.981981,0.04,1
26,0.912834,0.786047,1.457,0,0,-0.981981,0.04,1
27,1.25712,0.79713,1.29439,0,0,-0.981981,0.04,1
28,1.5823,0.628123,0.475757,0,0,-0.981981,0.04,1
29,0.192882,0.622421,1.86403,0,0,-0.981981,0.04,1
30,1.6757,0.988623,1.64302,0,0,-0.981981,0.04,1
31,0.214872,0.336649,1.24159,0,0,-0.981981,0.04,1
32,1.87833,1.19086,0.638423,0,0,-0.981981,0.04,1
33,1.52452,1.12738,1.87198,0,0,-0.981981,0.04,1
34,1.34929,1.62887,0.74951,0,0,-0.981981,0.04,1
35,1.25355,0.155331,1.00493,0,0,-0.981981,0.04,1
36,1.59083,0.0877297,0.559046,0,0,-0.981981,0.04,1
37,1.44806,1.86171,0.969339,0,0,-0.981981,0.04,1
38,0.398991,0.810803,0.193518,0,0,-0.981981,0.04,1
39,0.437662,0.930346,1.44936,0,0,-0.981981,0.04,1
40,1.64635,1.71421,0.894802,0,0,-0.981981,0.04,1
41,1.65598,1.76778,0.264818,0,0,-0.981981,0.04,1
42,1.67143,0.137377,0.970807,0,0,-0.981981,0.04,1
43,0.197648,0.0484878,1.72743,0,0,-0.981981,0.04,1
44,1.88289,0.837255,1.2046,0,0,-0.981981,0.04,1
45,1.22583,0.28589,0.702883,0,0,-0.981981,0.04,1
46,0.230823,1.34275,1.75532,0,0,-0.981981,0.04,1
47,1.06277,1.85375,0.13781,0,0,-0.981981,0.04,1
48,0.330603,1.20442,0.547909,0,0,-0.981981,0.04,1
49,0.684937,1.83625,0.969174,0,0,-0.981981,0.04,1
50,0.88908,0.0633195,0.122393,0,0,-0.981981,0.04,1
51,1.36275,0.928673,1.54258,0,0,-0.981981,0.04,1
52,0.956268,0.181789,1.89734,0,0,-0.981981,0.04,1
53,1.89396,0.504662,1.08464,0,0,-0.981981,0.04,1
54,0.249593,0.207442,0.435681,0,0,-0.981981,0.04,1
55,1.12271,0.736621,0.281676,3.75952,-7.63044,13.8333,0.04,1
56,1.73148,1.76059,1.34497,0,0,-0.981981,0.04,1
57,0.329127,0.311989,0.108417,0,0,-0.981981,0.04,1
58,1.60484,0.383995,0.257887,0,0,-0.981981,0.04,1
59,0.579619,0.454444,0.97539,0,0,-0.981981,0.04,1
60,1.12462,0.272594,1.64243,0,0,-0.981981,0.04,1
61,1.86327,0.687348,0.369497,0,0,-0.981981,0.04,1
62,1.42769,0.809621,1.0652,0,0,-0.981981,0.04,1
63,0.636521,0.994257,0.334708,0,0,-0.981981,0.04,1
64,1.10557,0.605063,0.88709,0,0,-0.981981,0.04,1
65,0.436507,1.35475,1.68551,0,0,-0.981981,0.04,1
66,1.10892,0.593342,1.24764,0,0,-0.981981,0.04,1
67,1.15996,0.779605,1.62776,0,0,-0.981981,0.04,1
68,1.40011,0.925376,0.0797801,0,0,-0.981981,0.04,1
69,1.01397,0.748348,1.04035,0,0,-0.981981,0.04,1
70,1.20268,1.80845,1.1253,0,0,-0.981981,0.04,1
71,1.50284,0.66188,0.329811,0,0,-0.981981,0.04,1
72,0.103095,0.79889,0.0482669,0,0,0.94088,0.04,1
73,1.71965,0.241466,1.2506,0,0,-0.981981,0.04,1
74,0.913761,1.52439,1.81041,0,0,-0.981981,0.04,1
75,0.695164,0.443927,0.446454,0,0,-0.981981,0.04,1
76,1.9589,0.314783,1.63772,0,0,-0.981981,0.04,1
77,0.596306,0.629475,1.20596,0,0,-0.981981,0.04,1
78,1.83609,1.06558,0.447254,0,0,-0.981981,0.04,1
79,0.899696,1.13734,1.40946,0,0,-0.981981,0.04,1
80,1.47481,1.41275,0.341762,0,0,-0.981981,0.04,1
81,0.730032,1.69309,0.458103,0,0,-0.981981,0.04,1
82,0.332154,1.54061,0.9966,0,0,-0.981981,0.04,1
83,1.02646,1.75034,1.07938,0,0,-0.981981,0.04,1
84,0.954578,1.95872,0.357992,0,0,-0.981981,0.04,1
85,0.964024,0.63815,1.6177,0,0,-0.981981,0.04,1
86,0.573441,1.16728,0.701769,0,0,-0.981981,0.04,1
87,0.910925,0.924432,0.341834,0,0,-0.981981,0.04,1
88,1.25064,1.88428,1.52521,0,0,-0.981981,0.04,1
89,1.70619,0.514109,0.395067,0,0,-0.981981,0.04,1
90,1.34954,1.03148,1.71338,0,0,-0.981981,0.04,1
91,0.395948,1.43979,0.837631,0,0,-0.981981,0.04,1
92,1.17516,0.929934,1.76016,0,0,-0.981981,0.04,1
93,1.05045,0.23132,1.38463,0,0,-0.981981,0.04,1
94,0.746077,1.21972,1.25286,0,0,-0.981981,0.04,1
95,1.65749,1.20939,1.76657,0,0,-0.981981,0.04,1
96,0.229784,1.13199,1.66797,0,0,-0.981981,0.04,1
97,1.55186,0.197048,0.733157,0,0,-0.981981,0.04,1
98,0.391296,0.945487,1.05472,0,0,-0.981981,0.04,1
99,1.03407,1.4219,0.745038,0,0,-0.981981,0.04,1
100,0.274177,1.2733,0.681245,0,0,-0.981981,0.04,1
101,0.955393,0.950228,0.67166,0,0,-0.981981,0.04,1
102,1.53151,1.88931,0.987581,0,0,-0.981981,0.04,1
103,1.73996,0.0933439,0.817313,0,0,-0.981981,0.04,1
104,0.793258,0.277719,0.0431483,0,0,1.06334,0.04,1
105,0.658542,1.93499,0.891144,0,0,-0.981981,0.04,1
106,1.51519,1.4926,0.313908,0,0,-0.981981,0.04,1
107,1.08215,1.68746,1.72067,0,0,-0.981981,0.04,1
108,0.663235,0.608289,1.90816,0,0,-0.981981,0.04,1
