id,x,y,z,vx,vy,vz,r,m
0,1.47664,0.157093,0.0437053,7.83131,16.0341,-9.43595,0.04,1
1,0.73053,1.5465,0.03499,4.87881,12.4693,-6.70294,0.04,1
2,1.75756,0.494886,0.874067,0,0,-3.43448,0.04,1
3,1.96217,1.38163,1.36274,2.40954,-1.50436,-2.84086,0.04,1
4,1.05624,1.65469,1.73146,1.37086,-4.09353,20.5581,0.04,1
5,0.388481,0.578406,1.16696,0,0,-3.43448,0.04,1
6,0.113852,0.970123,0.21462,9.1508,-17.832,11.8048,0.04,1
7,0.798163,0.306053,0.492901,2.69248,1.12502,-3.24943,0.04,1
8,1.80285,1.4486,0.119009,2.31072,6.3298,11.2389,0.04,1
9,1.36983,1.25908,0.699638,28.8074,28.8489,12.9032,0.04,1
10,0.126228,0.183189,0.70567,0,0,-3.43448,0.04,1
11,1.44603,0.813356,0.911787,9.45383,7.08943,-4.05049,0.04,1
12,0.368922,0.794165,0.250265,0,0,-3.43448,0.04,1
13,0.879493,1.9227,1.16567,0,0,-3.43448,0.04,1
14,0.416037,0.775721,1.15656,0,0,-3.43448,0.04,1
15,0.016266,0.743314,0.920533,0.371943,-4.81439,9.26446,0.04,1
16,1.20983,1.53534,0.267176,0,0,-3.43448,0.04,1
17,1.1959,0.199542,0.716624,5.33479,3.3142,5.485,0.04,1
18,1.32244,1.51021,1.18919,0,0,-3.43448,0.04,1
19,0.767405,1.41678,0.486862,-2.98072,-10.7586,5.73025,0.04,1
20,1.0853,1.7001,1.21606,0.324008,-4.38923,19.4896,0.04,1
21,1.63411,0.471565,0.236397,-0.0475924,-2.21503,-16.8713,0.04,1
22,1.21402,1.70255,0.245254,0,0,-3.43448,0.04,1
23,1.25017,0.324641,1.08869,1.91439,17.264,13.2842,0.04,1
24,0.415626,1.02846,0.11808,-13.914,1.60212,-9.33059,0.04,1
25,0.789055,1.51118,0.263742,1.92038,1.1894,8.24135,0.04,1
26,0.845955,0.678018,0.877885,-4.98872,-10.5516,-6.32277,0.04,1
27,1.25712,0.79713,0.742213,0,0,-3.43448,0.04,1
28,1.7231,0.118724,0.0378635,-16.6085,3.38999,1.50037,0.04,1
29,0.192882,0.622421,1.31185,0,0,-3.43448,0.04,1
30,0.376533,1.01783,0.915778,-11.4018,0.255416,-4.79861,0.04,1
31,0.961662,0.438819,1.3295,16.4296,2.32959,5.74997,0.04,1
32,1.22217,0.470866,0.141643,-9.09653,-7.09451,5.95565,0.04,1
33,0.687198,0.886855,0.977179,-7.56091,3.93586,-12.8855,0.04,1
34,1.34929,1.62887,0.19733,0,0,-3.43448,0.04,1
35,1.70322,1.50931,1.89137,17.9949,-22.2398,7.95801,0.04,1
36,1.59083,0.0877297,0.0389646,0,0,4.16289,0.04,1
37,1.35686,1.97048,0.744892,-2.46292,3.23849,9.12668,0.04,1
38,1.16499,1.87619,0.818614,5.11189,0.500147,20.4903,0.04,1
39,0.437682,0.930319,0.897165,0.141712,-0.183104,-3.52612,0.04,1
40,1.63997,1.70906,0.360319,-0.0981746,-0.0791806,-3.16282,0.04,1
41,1.92868,2.05048,0.937816,-0.0419895,20.2893,14.5101,0.04,1
42,1.60031,0.109252,0.9157,-2.13527,-0.794478,8.05083,0.04,1
43,0.197648,0.0484878,1.17525,0,0,-3.43448,0.04,1
44,1.88289,0.837255,0.652419,0,0,-3.43448,0.04,1
45,1.22583,0.28589,0.150702,0,0,-3.43448,0.04,1
46,0.230823,1.34275,1.20314,0,0,-3.43448,0.04,1
47,0.584416,1.91931,1.25736,-2.50674,-2.90865,13.2277,0.04,1
48,0.221105,2.04358,0.111664,15.0868,7.72747,4.53868,0.04,1
49,0.684937,1.83625,0.416993,0,0,-3.43448,0.04,1
50,0.906167,0.0735431,0.342484,2.0047,2.84294,14.0725,0.04,1
51,1.30039,0.946768,0.969618,-10.5369,1.6907,-5.22386,0.04,1
52,0.956268,0.181789,1.34516,0,0,-3.43448,0.04,1
53,1.73714,0.523354,0.545921,-0.959808,0.293691,-3.12285,0.04,1
54,0.223955,0.203872,0.0803392,8.78014,-0.500924,3.06418,0.04,1
55,1.74067,1.43506,0.300596,-4.8861,-75.6592,19.132,0.04,1
56,1.73148,1.76059,0.792793,0,0,-3.43448,0.04,1
57,0.329127,0.311989,0.22945,0,0,0.114941,0.04,1
58,1.60484,0.383995,0.294826,0,0,1.86403,0.04,1
59,0.675079,0.809732,0.558121,0.599266,7.96044,-8.40975,0.04,1
60,1.12462,0.272594,1.09025,0,0,-3.43448,0.04,1
61,0.481411,0.875763,0.870337,-4.34933,19.0371,9.37863,0.04,1
62,1.45684,0.910728,0.564318,1.78713,5.23834,-4.05818,0.04,1
63,0.690965,0.822878,1.09344,-10.3043,-11.8827,10.8625,0.04,1
64,1.10557,0.605063,0.33491,0,0,-3.43448,0.04,1
65,0.51465,1.26619,1.10993,1.15532,-1.30449,-3.77838,0.04,1
66,1.10892,0.593342,0.695458,0,0,-3.43448,0.04,1
67,1.15996,0.779605,1.07558,0,0,-3.43448,0.04,1
68,0.269945,1.00635,0.778374,-15.4751,1.57489,7.03625,0.04,1
69,0.986806,0.781182,0.41611,-2.97977,-4.47343,-16.4991,0.04,1
70,1.20268,1.80845,0.573116,0,0,-3.43448,0.04,1
71,1.23832,1.09413,0.504399,-8.13339,5.38571,10.1591,0.04,1
72,0.019364,0.788201,0.128279,-8.21888,-0.622658,4.81512,0.04,1
73,1.63572,1.25598,0.406719,-2.25968,16.9636,-7.53015,0.04,1
74,0.913761,1.52439,1.25823,0,0,-3.43448,0.04,1
75,0.714257,0.436285,0.168724,10.7568,-6.92473,0.814327,0.04,1
76,1.78795,0.0825892,1.43475,-3.59363,10.6565,4.45922,0.04,1
77,0.559043,0.407133,0.64515,-2.77782,-12.012,-3.13621,0.04,1
78,1.83609,1.06558,0.167336,0,0,3.46039,0.04,1
79,0.899528,1.13724,0.85716,-0.025074,-0.014237,-3.45291,0.04,1
80,1.5856,1.80844,0.293825,-20.3655,-0.738902,6.5496,0.04,1
81,0.808679,0.074312,1.63877,4.93166,-16.7856,6.6552,0.04,1
82,0.556261,1.34421,0.913704,-7.75192,-1.67363,3.5705,0.04,1
83,1.02646,1.75034,0.527199,0,0,-3.43448,0.04,1
