id,x,y,z,vx,vy,vz,r,m
0,0.686333,0.948151,1.68484,-2.44405,17.1705,106.386,0.04,1
1,0.751192,1.63626,0.708677,35.4758,-34.5947,14.8473,0.04,1
2,1.97,0.689881,0.606481,25.6044,-3.77345,-101.226,0.04,1
3,1.40576,1.11359,0.61892,-10.9931,1.37393,-9.89704,0.04,1
4,1.98213,1.36756,-0.0445684,-41.1511,-49.1151,-6.1848,0.04,1
5,1.44064,0.185512,0.287783,7.56873,0.513507,-41.565,0.04,1
6,1.1731,0.567469,1.23669,-11.6495,6.84144,16.4148,0.04,1
7,1.21597,0.629981,1.11189,4.07944,18.228,43.3488,0.04,1
8,1.88755,2.61094,-0.03209,3.03319,-219.67,21.1052,0.04,1
9,1.22778,-0.227029,1.31558,-74.8029,-25.1474,5.70835,0.04,1
10,1.74042,0.892582,1.88673,8.05216,-29.9999,16.1309,0.04,1
11,1.67524,1.94661,0.00286199,11.7688,-15.76,-51.1657,0.04,1
12,0.305593,1.87214,1.26529,0.0906549,2.92967,3.53481,0.04,1
13,1.81091,0.266014,0.321431,37.1941,11.4657,-47.8561,0.04,1
14,0.302329,0.508598,0.894767,3.21013,42.5719,0.741284,0.04,1
15,1.65782,1.86545,1.0975,2.581,-55.024,56.9698,0.04,1
16,1.46979,0.651044,0.447843,-9.17275,178.152,47.4857,0.04,1
17,0.641411,0.493456,0.571634,30.4131,-19.1126,-25.9459,0.04,1
18,0.361863,1.6088,1.06489,34.1132,-17.2089,0.110487,0.04,1
19,2.63561,0.0489341,0.830876,-104.334,-12.1872,-21.6714,0.04,1
20,0.144081,1.88015,1.49525,-14.8722,6.43505,28.2013,0.04,1
21,1.24334,1.92485,2.00658,19.306,14.69,19.9082,0.04,1
22,0.824875,1.91436,0.0413771,-32.305,8.33767,-47.6471,0.04,1
23,2.14135,1.21483,2.4882,15.7979,84.7874,-226.781,0.04,1
24,0.962089,0.054362,0.105935,29.6542,22.0725,10.8878,0.04,1
25,0.198091,1.09127,1.26718,15.3215,64.6988,-3.16289,0.04,1
26,0.0742036,0.654239,1.70038,-35.5953,-15.1819,-51.8334,0.04,1
27,1.75134,0.275629,0.0286915,2.27261,-31.3887,-2.58716,0.04,1
28,0.873374,0.157046,1.49977,-3.11792,-6.44574,34.8868,0.04,1
29,0.709753,0.819335,1.74266,0.491969,-10.4675,-31.1641,0.04,1
30,0.0665249,0.881334,0.190463,-11.062,-31.5878,25.9965,0.04,1
31,1.47766,0.17895,1.26849,1.67924,-48.4186,9.70871,0.04,1
32,0.79014,-0.153846,1.41184,-13.3353,-11.4167,-24.8278,0.04,1
33,1.9229,1.98407,0.879238,0.287852,-35.1334,8.5659,0.04,1
34,0.844697,1.81045,1.00306,-35.4639,18.1517,7.43514,0.04,1
35,1.05546,3.16116e-06,0.0164479,13.6103,36.6222,-14.2323,0.04,1
36,0.964031,0.375425,1.09334,10.0576,-15.6991,47.0673,0.04,1
37,1.10663,0.583544,1.3042,23.0402,-21.3908,26.1844,0.04,1
38,1.47663,1.23899,0.201125,-46.7168,614.127,-26.2069,0.04,1
39,0.864741,0.657765,2,12.9922,18.3698,3.4357,0.04,1
40,0.227837,1.67955,0.619041,24.2641,38.4356,-113.763,0.04,1
41,-0.271409,-1.94229,1.98797,97.2531,-482.924,10.3686,0.04,1
42,1.04184,1.825,1.09216,13.6996,12.2068,-110.698,0.04,1
43,1.5547,0.200945,1.16068,-42.8485,-6.26365,-54.3807,0.04,1
44,1.84068,1.38132,0.0954269,35.2364,-79.7601,-48.7694,0.04,1
45,1.15831,1.70995,1.89331,24.7974,-83.0858,6.03568,0.04,1
46,1.55373,0.681078,0.84338,-15.122,-6.29097,-6.52587,0.04,1
47,1.80815,2.17367,2.46654,-9.8966,229.609,-120.79,0.04,1
48,0.291404,1.80064,1.37313,-23.1393,-52.2304,-18.5337,0.04,1
49,0.902355,1.92584,1.02904,-89.0645,33.6382,3.74714,0.04,1
50,2.18865,1.64098,-0.0378576,30.8858,8.75352,18.1717,0.04,1
51,0.199914,-0.0861403,0.333757,66.4327,70.903,8.65719,0.04,1
52,1.11631,1.55694,1.99294,2.51358,-23.0917,5.99725,0.04,1
53,1.61354,1.71749,0.847474,-4.10619,13.7635,2.71898,0.04,1
