id,x,y,z,vx,vy,vz,r,m
0,1.07596,0.327262,0.15012,7.90575,-8.57199,-0.667698,0.04,1
1,0.642903,1.16012,0.291554,0.789457,-6.57299,0.59275,0.04,1
2,1.75756,0.494886,1.03355,0,0,-2.94398,0.04,1
3,1.9394,1.3963,1.51687,0,0,-2.94398,0.04,1
4,0.987695,1.85937,0.691312,1.37086,-4.09353,21.0486,0.04,1
5,0.388481,0.578406,1.32645,0,0,-2.94398,0.04,1
6,0.391451,1.54913,0.0857279,-14.5494,-5.79293,0.919026,0.04,1
7,0.733184,0.232328,0.592541,0,0,-2.94398,0.04,1
8,1.74159,1.27456,0.194437,0,0,-2.94398,0.04,1
9,0.0141696,-0.0233476,0.312007,23.5983,-14.2432,5.94824,0.04,1
10,0.126228,0.183189,0.865156,0,0,-2.94398,0.04,1
11,1.36608,0.734725,1.06022,0,0,-2.94398,0.04,1
12,0.368922,0.794165,0.409752,0,0,-2.94398,0.04,1
13,0.879493,1.9227,1.32516,0,0,-2.94398,0.04,1
14,0.416037,0.775721,1.31604,0,0,-2.94398,0.04,1
15,0.331244,0.996752,0.4382,-6.48695,-5.20045,9.96356,0.04,1
16,1.20983,1.53534,0.426662,0,0,-2.94398,0.04,1
17,1.08471,0.113285,0.66552,0,0,-2.94398,0.04,1
18,1.32244,1.51021,1.34868,0,0,-2.94398,0.04,1
19,0.780433,1.46708,0.173265,0.0978322,0.282283,6.10106,0.04,1
20,1.02347,1.45806,0.421593,1.28079,5.39676,15.6048,0.04,1
21,1.80535,0.523163,0.967409,-8.92982,1.33657,-10.4915,0.04,1
22,1.21402,1.70255,0.40474,0,0,-2.94398,0.04,1
23,1.01076,0.198451,0.641278,0.437909,-4.45262,4.22984,0.04,1
24,0.490719,0.975154,0.0564,0,0,3.5116,0.04,1
25,0.725357,1.98351,0.308472,-6.72672,-6.26027,-9.33795,0.04,1
26,0.912834,0.786047,1.0643,0,0,-2.94398,0.04,1
27,1.25712,0.79713,0.901699,0,0,-2.94398,0.04,1
28,1.8324,0.271057,0.122965,6.19111,-8.42661,-1.74332,0.04,1
29,0.192882,0.622421,1.47134,0,0,-2.94398,0.04,1
30,0.946622,1.00506,1.14347,-11.4018,0.255416,-4.30811,0.04,1
31,0.253405,0.328075,0.864597,15.2268,-1.58335,12.4028,0.04,1
32,1.67699,0.825592,0.149135,-9.09653,-7.09451,-4.59957,0.04,1
33,1.33953,1.02797,1.39529,-13.546,-3.68309,-7.30043,0.04,1
34,1.34929,1.62887,0.356816,0,0,-2.94398,0.04,1
35,0.803472,1.6133,1.48123,17.9949,17.5462,8.44851,0.04,1
36,1.59083,0.0877297,0.166352,0,0,-2.94398,0.04,1
37,1.44806,1.86171,0.576645,0,0,-2.94398,0.04,1
38,1.03636,1.8904,-0.00283717,1.36442,5.73503,-1.32402,0.04,1
39,0.437662,0.930346,1.05666,0,0,-2.94398,0.04,1
40,1.64488,1.71302,0.506222,-0.0981746,-0.0791806,-2.67232,0.04,1
41,1.87437,0.480189,0.234319,1.94918,33.8981,9.05612,0.04,1
42,1.67143,0.137377,0.578112,0,0,-2.94398,0.04,1
43,0.197648,0.0484878,1.33473,0,0,-2.94398,0.04,1
44,1.88289,0.837255,0.811905,0,0,-2.94398,0.04,1
45,1.22583,0.28589,0.310188,0,0,-2.94398,0.04,1
46,0.230823,1.34275,1.36263,0,0,-2.94398,0.04,1
