id,x,y,z,vx,vy,vz,r,m
0,0.820088,0.30285,0.169518,0.0643682,-17.1243,43.9736,0.04,1
1,1.55722,0.0168723,0.220875,-21.3573,-20.9823,-4.45065,0.04,1
2,0.46073,1.11591,2.05725,-23.9726,-8.59048,33.3484,0.04,1
3,1.88393,1.21235,1.2114,0.730492,-2.82671,-3.66431,0.04,1
4,0.600543,0.507846,1.85201,-24.277,-28.3104,18.6765,0.04,1
5,0.498931,0.590962,1.20837,6.74934,-0.775786,10.059,0.04,1
6,1.7296,0.355008,0.179336,11.0425,-12.5668,-10.4527,0.04,1
7,0.783388,0.436679,1.9798,7.58579,-6.51677,-26.6212,0.04,1
8,1.83992,1.2969,1.76344,-4.74174,92.128,17.2198,0.04,1
9,1.57293,0.761794,0.944836,-38.6761,-38.9586,3.4215,0.04,1
10,1.03919,0.781081,0.877879,13.1625,12.097,1.59279,0.04,1
11,1.21997,1.01005,0.265645,-0.360568,11.6105,31.833,0.04,1
12,0.698432,1.90661,0.5681,-3.63678,-4.3655,-0.695909,0.04,1
13,1.41347,0.622582,0.321281,-29.338,-9.10123,31.0464,0.04,1
14,0.407295,1.7663,0.892604,-6.80722,24.7985,1.67272,0.04,1
15,1.26999,1.03282,1.46895,5.65467,-31.0347,29.8131,0.04,1
16,1.54093,2.14994,1.9026,-0.89245,-1.46737,19.476,0.04,1
17,0.678159,1.57153,1.09577,-3.85043,14.5423,23.9784,0.04,1
18,1.66245,1.67959,1.43127,-12.3055,0.0331088,-0.930297,0.04,1
19,2.19272,1.3766,1.4491,26.1674,-11.5509,17.8436,0.04,1
20,1.62205,1.82823,0.224289,-8.82642,8.1681,3.0388,0.04,1
21,0.26683,0.988107,0.477372,-11.4772,7.77984,-22.9172,0.04,1
22,0.421523,1.84998,0.711244,26.4764,2.6021,19.3313,0.04,1
23,1.81681,0.414344,1.74877,-29.1054,41.3282,78.2714,0.04,1
24,1.34848,1.30582,0.620243,-19.1936,-12.9801,1.26633,0.04,1
25,0.948617,1.2902,1.58091,-14.8633,32.254,-2.82189,0.04,1
26,1.38661,1.87797,0.104872,16.7492,10.2021,-17.0156,0.04,1
27,1.30759,1.20142,0.574616,7.20439,16.2067,-5.62929,0.04,1
28,0.973315,0.7784,0.664436,-8.8952,1.67007,0.258743,0.04,1
29,0.477784,0.529008,0.0121065,2.65475,4.80404,20.9682,0.04,1
30,1.26484,0.732704,1.56961,-11.5641,19.1876,-15.6602,0.04,1
31,0.823319,0.598944,0.58956,10.0584,20.0927,5.92719,0.04,1
32,1.98767,0.0448726,0.88579,2.68586,38.8052,15.7254,0.04,1
33,1.81333,0.288015,0.297384,3.42525,-19.7656,-12.9579,0.04,1
34,1.52716,0.854879,0.311426,-6.84416,6.20614,-3.94636,0.04,1
35,0.815824,1.76986,0.484866,-10.6771,11.6866,8.73797,0.04,1
36,1.11436,1.94309,1.70809,-7.60882,10.9219,29.4959,0.04,1
37,0.59828,1.61476,0.410992,-13.137,-9.18287,-17.9883,0.04,1
38,0.545623,1.43629,1.65514,-29.6974,140.158,16.6677,0.04,1
39,0.0520338,0.623307,1.18341,-4.97835,-10.9033,6.03043,0.04,1
40,1.06492,0.962548,2.00483,-12.1244,-20.3377,37.0897,0.04,1
41,1.98318,0.539079,1.09389,55.4278,-151.22,7.32432,0.04,1
42,0.0152754,0.515483,1.63027,-5.68266,11.7971,43.7381,0.04,1
43,0.00430099,0.40995,0.354661,-9.27324,8.34629,-22.0345,0.04,1
44,0.826521,1.8124,0.465385,-14.9147,-38.4895,21.8593,0.04,1
45,1.22344,1.97975,1.26214,-21.0842,-39.5632,12.8601,0.04,1
46,1.29577,1.11752,1.40565,10.281,-1.50594,-3.45886,0.04,1
47,1.95871,1.18747,1.54962,-4.25065,82.92,-71.987,0.04,1
48,1.51596,0.896435,1.48193,17.9813,-18.4086,5.88615,0.04,1
49,1.58541,0.874198,0.325807,-32.2291,-16.6977,14.1085,0.04,1
50,1.52892,0.739628,1.72872,32.488,8.58532,25.1523,0.04,1
51,0.712404,0.232909,0.543217,23.8039,-32.9368,-14.9257,0.04,1
52,0.935742,0.597672,1.07534,-3.08194,9.60486,-4.76417,0.04,1
53,1.74836,0.121501,0.494661,-0.0899931,19.6236,6.19859,0.04,1
54,0.641464,0.957468,0.78606,14.6336,6.40089,8.94739,0.04,1
55,1.6789,0.0707046,1.25825,12.668,-107.643,36.537,0.04,1
56,1.64631,1.66126,-0.0526237,-19.4372,5.71757,-17.9889,0.04,1
57,0.773038,-0.0409706,0.223174,84.7618,19.3014,1.09504,0.04,1
58,1.53528,1.93197,1.19248,29.8831,-11.6885,27.3129,0.04,1
59,0.600347,1.2395,0.68916,-2.90383,0.570006,-12.5818,0.04,1
60,1.90547,1.09489,1.67363,-3.91359,17.3954,-1.98623,0.04,1
61,1.92538,1.89304,1.06197,7.06124,-38.048,8.50509,0.04,1
62,0.517154,1.288,-0.0134722,-8.20389,0.679387,-0.618236,0.04,1
63,1.75766,1.79659,1.29661,-45.0468,-68.4628,-32.6742,0.04,1
64,0.850162,0.612719,1.52209,-10.9926,3.47018,15.0074,0.04,1
65,0.955273,1.74435,0.180849,31.4721,-18.3358,-19.4827,0.04,1
66,1.54489,1.48172,-0.00767162,7.43984,15.2487,-19.32,0.04,1
67,1.46394,1.81566,1.72764,-23.5798,-26.5903,10.2682,0.04,1
68,1.20443,0.678456,-0.0467996,-5.60918,-5.42398,22.4733,0.04,1
69,1.5722,1.94021,0.0683824,-2.29311,12.327,4.61597,0.04,1
