id,x,y,z,vx,vy,vz,r,m
0,0.900616,1.41598,1.21676,-1.63885,-22.3573,-31.6672,0.04,1
1,1.63655,0.937558,0.278534,12.6488,-15.6319,1.46494,0.04,1
2,1.46006,1.42953,0.0124889,-17.015,1.97051,27.0544,0.04,1
3,1.96435,1.34271,1.37204,1.03458,-2.72303,-3.1683,0.04,1
4,1.75192,1.711,1.06339,-20.809,-8.3855,10.3761,0.04,1
5,0.311887,0.531665,1.13037,-1.23715,-0.751888,-4.02238,0.04,1
6,1.19331,0.973156,0.434512,10.2552,-12.0598,-0.670513,0.04,1
7,0.401366,0.581314,1.05572,-1.82347,2.30328,18.4923,0.04,1
8,1.87526,1.89952,0.925155,2.30089,-68.3574,15.4038,0.04,1
9,1.15861,1.73155,0.738416,27.3789,29.2872,5.46424,0.04,1
10,0.443833,0.291334,0.85586,9.73866,5.73757,-1.53848,0.04,1
11,1.35281,0.714005,0.664846,-2.9303,-0.911666,-15.926,0.04,1
12,0.850989,1.95653,0.543474,3.03185,-14.1923,10.783,0.04,1
13,1.71536,1.11804,0.664582,13.4396,-10.2675,-16.3225,0.04,1
14,0.678753,0.484971,1.09706,-4.4202,25.3924,-7.44594,0.04,1
15,0.957498,1.8584,0.531403,9.21143,14.8723,17.6213,0.04,1
16,1.47479,-0.00689278,0.788415,3.75116,-38.826,22.1717,0.04,1
17,1.00347,0.788539,0.148011,-8.34531,16.1283,15.3149,0.04,1
18,1.82554,1.66626,1.41423,6.77752,0.786916,0.103703,0.04,1
19,0.392532,1.93131,0.787377,-50.6273,-10.0104,10.0006,0.04,1
20,1.91802,1.6247,0.102066,11.4388,1.65876,3.60579,0.04,1
21,0.840691,0.599115,1.61099,-11.4772,7.77984,-22.4267,0.04,1
22,0.592299,1.71456,0.120241,-23.1288,3.3334,-14.5537,0.04,1
23,1.36658,0.911861,1.0848,15.0464,-27.0632,-56.8135,0.04,1
24,1.83483,1.95123,0.546877,15.2394,-12.8678,1.68656,0.04,1
25,1.85623,-0.0242143,1.40243,-17.5904,10.5425,7.01104,0.04,1
26,0.252609,1.60331,0.701798,26.9012,2.18559,-8.03747,0.04,1
27,1.24246,0.902209,0.772439,-0.459056,2.12706,-2.82272,0.04,1
28,1.38503,0.453035,0.449132,-6.91787,12.4159,0.867744,0.04,1
29,0.295041,0.322648,0.851407,6.37631,0.835156,-20.9674,0.04,1
30,1.74665,0.0893867,1.79739,-9.62722,-14.9207,11.7988,0.04,1
31,0.237862,0.327789,0.674945,7.22217,-0.623223,-9.51231,0.04,1
32,1.86107,1.13309,0.387915,0.480132,-26.2748,7.70138,0.04,1
33,1.90125,0.803122,0.916426,6.82549,-6.49385,-11.6576,0.04,1
34,1.95188,0.688462,0.552109,-11.1458,-10.3688,-7.64987,0.04,1
35,1.03874,1.13929,0.0658944,-2.76302,14.3962,-10.7282,0.04,1
36,1.66995,1.62852,0.621258,-18.5433,5.86601,10.501,0.04,1
37,1.05465,1.82516,1.39314,-5.13772,0.338344,-21.564,0.04,1
38,2.04192,1.86544,0.780866,-8.96736,78.4537,16.3519,0.04,1
39,0.431415,0.916464,0.89777,-1.377,-3.12515,-3.15777,0.04,1
40,1.65242,1.95779,0.297364,-5.07049,-20.0319,32.5761,0.04,1
41,0.190626,0.393266,0.593409,-42.4127,-89.5995,8.89229,0.04,1
42,0.495109,0.230432,-0.00716992,-8.83949,7.18018,-24.3851,0.04,1
43,0.180926,0.119304,1.03826,-2.07424,5.81555,-12.9792,0.04,1
44,1.49518,1.1105,0.334455,-1.42922,15.9793,-8.90519,0.04,1
45,1.96914,0.913051,0.815491,7.64223,21.595,4.2926,0.04,1
46,0.535998,1.36321,1.25828,17.4709,-5.93996,4.26505,0.04,1
47,1.79521,1.49676,0.0764223,8.4023,-52.6561,55.1585,0.04,1
48,0.419894,1.70278,1.45385,24.9558,-12.9479,1.88345,0.04,1
49,1.54496,1.57678,0.162793,10.2062,-6.735,-6.27878,0.04,1
50,0.166669,0.196574,0.605732,13.668,0.0318773,21.2771,0.04,1
51,0.397939,1.59016,0.918687,-23.8532,-23.1379,-1.35137,0.04,1
52,1.03809,0.204837,1.30918,2.88984,0.764018,-4.66516,0.04,1
53,1.59524,0.416816,0.311787,6.39514,-4.46808,-4.33283,0.04,1
54,0.0445605,0.591034,0.394054,-14.5353,8.65924,3.46165,0.04,1
55,1.38739,0.387037,-0.00247797,5.46618,71.5427,12.9044,0.04,1
56,1.68356,1.68403,1.12988,3.68016,-7.72399,-14.9872,0.04,1
57,1.86926,1.36017,0.21649,-57.3504,-29.5281,-0.456164,0.04,1
58,0.278984,1.60453,0.0987428,26.2062,10.8234,20.2229,0.04,1
59,0.504566,1.18067,1.24108,6.2817,1.95343,-8.68857,0.04,1
60,1.82987,0.168869,1.78026,4.37933,18.5702,-1.90922,0.04,1
61,1.64529,0.839225,0.716595,4.29624,25.4605,0.38182,0.04,1
62,0.921635,1.05389,0.411225,-9.29001,6.33754,-6.09378,0.04,1
63,0.847147,0.0328807,1.53601,29.6439,50.6545,19.2369,0.04,1
64,1.52118,0.536938,0.815253,-15.4079,0.327112,13.6633,0.04,1
65,0.157484,1.54342,1.17872,-19.1094,15.8091,-12.3525,0.04,1
66,1.10553,0.852853,0.722059,4.57582,5.62333,-0.322806,0.04,1
67,1.59818,1.23956,1.33039,19.1444,13.5321,8.17018,0.04,1
68,1.41814,0.940212,1.3718,-3.06209,-4.04432,-32.8089,0.04,1
69,1.69245,1.34258,0.202747,0.568126,10.7785,-8.93881,0.04,1
70,1.72319,1.1107,0.99885,15.3157,-17.5137,3.57063,0.04,1
71,-0.0194345,0.219587,2.00856,23.8254,-23.0498,-10.4323,0.04,1
72,1.14729,0.160493,0.763201,12.5597,-16.1611,11.4244,0.04,1
73,1.08868,1.83075,0.979005,-17.2756,-26.4603,36.8667,0.04,1
74,0.911883,1.5159,1.27055,-0.619991,-2.97866,0.17704,0.04,1
75,0.31761,0.840084,1.00549,-8.24372,1.77844,20.6805,0.04,1
76,1.43627,0.478221,1.24739,-9.95281,3.1229,-1.06615,0.04,1
77,0.399393,0.482352,1.35855,-2.59809,12.7173,2.55407,0.04,1
78,1.92677,0.380944,0.724192,-10.7488,-23.6234,-2.55794,0.04,1
79,1.50124,0.642175,1.55237,5.48457,2.62304,9.21802,0.04,1
80,0.822661,0.575764,0.545523,-82.7639,-34.7353,18.8552,0.04,1
81,-0.0555278,0.547728,1.82824,-35.4944,-3.12573,-18.1034,0.04,1
82,1.23534,1.70126,0.0803537,19.893,-8.64195,-17.2076,0.04,1
83,1.11694,1.79789,0.301235,-3.18294,-3.14464,-12.2797,0.04,1
84,0.739743,1.78572,0.386075,-12.0021,-4.88038,2.84412,0.04,1
85,0.518943,0.723525,0.926534,-10.219,-4.02663,-16.0699,0.04,1
86,0.754426,0.0710374,0.957275,4.27147,20.8054,20.7855,0.04,1
87,0.0189875,0.868315,0.718264,10.5173,1.53046,8.8029,0.04,1
88,1.24204,1.87765,0.96388,-0.217537,-0.167406,-3.66583,0.04,1
89,1.94502,1.02609,1.6762,-20.6943,14.5885,8.75944,0.04,1
90,1.83447,0.540636,1.90783,3.50026,32.2896,4.00784,0.04,1
91,1.64385,0.76424,0.453016,14.2817,-23.2458,3.54353,0.04,1
92,1.62234,0.333189,1.10345,6.72466,-9.60074,-0.410436,0.04,1
93,1.99213,0.611516,0.907114,3.48403,10.7779,-0.901207,0.04,1
94,0.260844,1.25103,0.263494,28.7153,10.7041,0.451019,0.04,1
95,1.67288,1.32086,1.72936,0.233226,2.41343,7.19547,0.04,1
96,0.156116,1.2772,0.986865,-4.18009,10.844,-12.2472,0.04,1
97,1.4546,0.830855,0.49922,-11.2526,-35.5999,9.40962,0.04,1
98,0.311218,1.87631,1.23269,3.86896,13.4377,8.2981,0.04,1
99,1.30038,1.41299,0.233193,8.56001,-2.81215,20.8335,0.04,1
100,0.794792,0.835505,1.18897,21.3119,-11.7043,20.4238,0.04,1
101,0.716708,0.249514,0.720154,-25.2883,-7.59972,8.36411,0.04,1
102,1.01781,1.27993,1.88188,-17.7031,-12.3761,-13.3985,0.04,1
103,1.3427,2.00807,1.96266,2.03965,13.1398,-42.5638,0.04,1
104,1.43517,1.71977,0.277265,2.19375,5.31478,-36.7847,0.04,1
105,1.6566,0.762226,0.647622,15.2565,-26.9462,4.90345,0.04,1
106,1.68415,1.28513,-0.00342431,6.37162,-4.34194,3.64274,0.04,1
107,1.69609,1.81497,1.22943,-1.35742,19.1663,0.163209,0.04,1
108,0.597457,0.374909,1.44387,0.205202,-4.53365,-11.452,0.04,1
109,0.904798,0.171559,0.904107,11.428,11.2773,22.1936,0.04,1
110,1.92724,1.34918,0.832087,-7.39593,0.411078,-41.6404,0.04,1
111,0.824298,1.2313,0.119959,-11.7287,-16.2133,15.4564,0.04,1
112,0.264635,1.70671,1.64293,-2.11508,3.94814,12.7428,0.04,1
113,0.71387,1.61569,0.200778,10.3293,12.9431,-7.36893,0.04,1
114,-0.00402534,0.0393614,0.797568,7.38924,-4.96317,8.28044,0.04,1
115,1.62938,1.1829,0.952164,1.84682,-12.833,-11.401,0.04,1
116,0.150083,1.66512,0.760784,-10.8395,-4.79467,13.2453,0.04,1
117,1.30751,-0.0891301,0.180066,-5.68447,11.4802,-7.06053,0.04,1
118,0.790868,0.682756,0.154174,4.30485,7.11047,-13.3086,0.04,1
119,1.80787,1.43909,1.62836,3.1722,2.54224,0.88085,0.04,1
