id,x,y,z,vx,vy,vz,r,m
0,1.00901,0.3784,0.0317903,0,0,-0.939275,0.04,1
1,0.874139,1.42438,0.205461,-4.9885,-5.13759,2.17794,0.04,1
2,1.75756,0.494886,1.16851,0,0,-2.45348,0.04,1
3,1.9394,1.3963,1.65183,0,0,-2.45348,0.04,1
4,0.70407,1.65671,0.15693,5.55729,10.6954,1.06253,0.04,1
5,0.388481,0.578406,1.46141,0,0,-2.45348,0.04,1
6,1.11892,1.83877,0.0389531,-14.5525,-5.79922,-1.03268,0.04,1
7,0.733184,0.232328,0.727502,0,0,-2.45348,0.04,1
8,1.74159,1.27456,0.329398,0,0,-2.45348,0.04,1
9,0.672606,1.11506,0.0385537,-3.49676,-19.0991,-1.95503,0.04,1
10,0.126228,0.183189,1.00012,0,0,-2.45348,0.04,1
11,1.36608,0.734725,1.19518,0,0,-2.45348,0.04,1
12,0.368922,0.794165,0.544713,0,0,-2.45348,0.04,1
13,0.879493,1.9227,1.46012,0,0,-2.45348,0.04,1
14,0.416037,0.775721,1.451,0,0,-2.45348,0.04,1
15,0.527684,1.07206,0.0929561,0,0,-2.45348,0.04,1
16,1.20983,1.53534,0.561623,0,0,-2.45348,0.04,1
17,1.08471,0.113285,0.800481,0,0,-2.45348,0.04,1
18,1.32244,1.51021,1.48364,0,0,-2.45348,0.04,1
19,0.779963,1.4658,0.0491896,0,0,-2.45348,0.04,1
20,1.26624,1.22363,0.101644,-4.94205,-1.97814,-10.7212,0.04,1
21,1.88309,0.435415,1.35168,0,0,-2.45348,0.04,1
22,1.21402,1.70255,0.539701,0,0,-2.45348,0.04,1
23,0.988861,0.421082,0.417549,0.437909,-4.45262,4.72034,0.04,1
24,0.490719,0.975154,0.132795,0,0,-2.45348,0.04,1
25,0.799646,1.92421,0.538219,0,0,-2.45348,0.04,1
26,0.912834,0.786047,1.19927,0,0,-2.45348,0.04,1
27,1.25712,0.79713,1.03666,0,0,-2.45348,0.04,1
28,1.5823,0.628123,0.218024,0,0,-2.45348,0.04,1
29,0.192882,0.622421,1.6063,0,0,-2.45348,0.04,1
30,1.51672,0.992072,1.3465,-11.4021,0.271628,-3.80717,0.04,1
31,0.214872,0.336649,0.983853,0,0,-2.45348,0.04,1
32,1.8957,1.18033,0.367128,7.83815,-7.11673,-5.14194,0.04,1
33,1.52452,1.12738,1.61424,0,0,-2.45348,0.04,1
34,1.34929,1.62887,0.491777,0,0,-2.45348,0.04,1
35,0.0252778,0.767171,1.07409,-14.9153,16.7682,7.77689,0.04,1
36,1.59083,0.0877297,0.301313,0,0,-2.45348,0.04,1
37,1.44806,1.86171,0.711606,0,0,-2.45348,0.04,1
38,0.698683,1.50261,0.331172,10.8414,8.73454,-2.03331,0.04,1
39,0.437662,0.930346,1.19163,0,0,-2.45348,0.04,1
40,1.64635,1.71421,0.637069,0,0,-2.45348,0.04,1
41,1.70139,0.690546,0.0592822,6.38906,-21.7226,0.00153717,0.04,1
42,1.67143,0.137377,0.713073,0,0,-2.45348,0.04,1
43,0.197648,0.0484878,1.46969,0,0,-2.45348,0.04,1
44,1.88289,0.837255,0.946866,0,0,-2.45348,0.04,1
45,1.22583,0.28589,0.445149,0,0,-2.45348,0.04,1
46,0.230823,1.34275,1.49759,0,0,-2.45348,0.04,1
47,1.06277,1.85375,0.162776,0,0,1.50596,0.04,1
48,0.330603,1.20442,0.290176,0,0,-2.45348,0.04,1
49,0.684937,1.83625,0.71144,0,0,-2.45348,0.04,1
50,0.88908,0.0633195,0.167718,0,0,1.30087,0.04,1
51,1.36275,0.928673,1.28485,0,0,-2.45348,0.04,1
52,0.956268,0.181789,1.63961,0,0,-2.45348,0.04,1
53,1.8771,0.506838,0.828265,-1.34055,0.171249,-2.33119,0.04,1
54,0.249593,0.207442,0.177948,0,0,-2.45348,0.04,1
55,1.95791,1.73684,0.900345,3.70303,-39.5662,-4.90772,0.04,1
56,1.73148,1.76059,1.08724,0,0,-2.45348,0.04,1
57,0.329127,0.311989,0.168955,0,0,1.09594,0.04,1
