id,x,y,z,vx,vy,vz,r,m
0,0.799101,0.800587,0.726973,-5.26841,23.9545,13.0748,0.04,1
1,0.989605,1.71919,0.20624,4.59016,11.4349,2.00561,0.04,1
2,1.75756,0.494886,1.16851,0,0,-2.45348,0.04,1
3,1.9394,1.3963,1.65183,0,0,-2.45348,0.04,1
4,0.846402,1.84322,0.126946,11.3687,-0.862823,5.03235,0.04,1
5,0.388481,0.578406,1.46141,0,0,-2.45348,0.04,1
6,1.30062,1.65981,0.378549,-3.53752,-1.78444,9.08085,0.04,1
7,0.763589,0.263648,0.663022,2.62754,3.40157,-13.5338,0.04,1
8,1.70489,1.15176,0.143117,-0.889816,-18.3954,-7.51315,0.04,1
9,0.702595,0.738118,0.137085,-8.86893,-20.3931,4.15606,0.04,1
10,0.126228,0.183189,1.00012,0,0,-2.45348,0.04,1
11,1.36608,0.734725,1.19518,0,0,-2.45348,0.04,1
12,0.550087,0.838074,0.382099,9.13876,3.09985,-11.5579,0.04,1
13,0.879493,1.9227,1.46012,0,0,-2.45348,0.04,1
14,0.417468,0.77253,1.45137,0.0525622,-0.117197,-2.44,0.04,1
15,0.524076,1.0648,0.099073,-0.365953,-0.725435,-1.82678,0.04,1
16,1.20983,1.53534,0.561623,0,0,-2.45348,0.04,1
17,1.08471,0.113285,0.800481,0,0,-2.45348,0.04,1
18,1.32244,1.51021,1.48364,0,0,-2.45348,0.04,1
19,0.781153,1.4692,0.0486711,1.54552,3.71849,-3.05629,0.04,1
20,1.33391,1.24368,0.230347,0.443883,-1.26548,-2.21987,0.04,1
21,1.88309,0.435415,1.35168,0,0,-2.45348,0.04,1
22,1.21402,1.70255,0.539701,0,0,-2.45348,0.04,1
23,0.278522,1.06292,0.165049,-1.36096,23.2258,-11.0803,0.04,1
24,0.572667,1.00611,0.011043,10.1302,2.69687,5.31419,0.04,1
25,1.03734,1.61956,0.609362,8.2487,-15.2752,9.27421,0.04,1
26,0.775336,1.15637,0.909127,-3.06306,7.69256,-7.49109,0.04,1
27,1.25712,0.79713,1.03666,0,0,-2.45348,0.04,1
28,1.90223,0.597295,0.31944,12.509,-2.46495,5.12048,0.04,1
29,0.192882,0.622421,1.6063,0,0,-2.45348,0.04,1
30,1.6757,0.988623,1.38528,0,0,-2.45348,0.04,1
31,0.214872,0.336649,0.983853,0,0,-2.45348,0.04,1
32,1.87833,1.19085,0.38066,0.0070535,-0.0129927,-2.61429,0.04,1
33,1.52452,1.12738,1.61424,0,0,-2.45348,0.04,1
34,1.4082,1.68734,0.603043,4.08261,5.58583,6.70253,0.04,1
35,1.25355,0.155331,0.747195,0,0,-2.45348,0.04,1
36,1.70511,0.293328,0.208839,2.96265,17.6874,-4.91672,0.04,1
37,1.45508,1.94099,0.887108,-0.98747,8.02747,16.4349,0.04,1
38,0.185743,1.16884,0.217177,8.83233,35.2507,-0.721021,0.04,1
39,0.437662,0.930346,1.19163,0,0,-2.45348,0.04,1
40,1.64635,1.71421,0.637069,0,0,-2.45348,0.04,1
41,1.52599,1.17897,0.228423,0.727815,-27.2695,3.90121,0.04,1
42,1.52328,0.327155,1.71711,-11.0195,-4.46077,19.3994,0.04,1
43,0.197648,0.0484878,1.46969,0,0,-2.45348,0.04,1
44,1.88289,0.837255,0.946866,0,0,-2.45348,0.04,1
45,1.32857,0.236371,0.569923,3.08524,-1.51952,1.47468,0.04,1
46,0.230823,1.34275,1.49759,0,0,-2.45348,0.04,1
47,0.49192,0.415196,1.14808,13.9809,-21.5562,17.6027,0.04,1
48,0.339282,1.44099,0.380011,2.78337,5.9388,16.573,0.04,1
49,0.684937,1.83625,0.71144,0,0,-2.45348,0.04,1
50,0.948352,0.0616269,0.182559,1.19248,-0.0359918,1.60216,0.04,1
51,1.34261,0.957743,1.28095,-4.90206,9.30915,-0.937212,0.04,1
52,0.956268,0.181789,1.63961,0,0,-2.45348,0.04,1
53,1.89396,0.504662,0.826904,0,0,-2.45348,0.04,1
54,0.249593,0.207442,0.177948,0,0,-2.45348,0.04,1
55,0.405496,0.931916,1.36368,17.2546,16.1278,-15.4411,0.04,1
56,1.73148,1.76059,1.08724,0,0,-2.45348,0.04,1
57,1.04801,1.0691,0.252708,-31.2405,6.6733,5.85935,0.04,1
58,1.24116,0.516965,0.330525,-2.3935,13.6238,2.06147,0.04,1
59,0.223536,0.444684,0.646983,-13.2802,3.65099,-1.65871,0.04,1
60,1.12462,0.272594,1.3847,0,0,-2.45348,0.04,1
61,1.40431,0.68404,0.286019,-7.91075,-10.7441,9.92953,0.04,1
62,1.42769,0.809621,0.807468,0,0,-2.45348,0.04,1
63,0.624494,1.26639,0.379596,-2.12044,20.7893,7.20917,0.04,1
64,1.46484,0.639041,0.284862,14.8172,-3.68054,-7.97413,0.04,1
65,0.436507,1.35475,1.42778,0,0,-2.45348,0.04,1
66,1.10892,0.593342,0.989905,0,0,-2.45348,0.04,1
67,1.15996,0.779605,1.37002,0,0,-2.45348,0.04,1
68,1.53633,1.05885,0.593752,-0.419887,-4.47872,18.9252,0.04,1
69,1.01397,0.748348,0.782617,0,0,-2.45348,0.04,1
70,1.20268,1.80845,0.867563,0,0,-2.45348,0.04,1
71,1.4434,1.33922,0.338737,-11.8869,21.1995,16.5373,0.04,1
72,0.262449,1.41019,0.658452,2.28373,-15.2595,3.46799,0.04,1
73,1.89345,0.428288,0.984337,-6.50814,11.1544,-2.84716,0.04,1
74,0.913761,1.52439,1.55268,0,0,-2.45348,0.04,1
75,0.695164,0.443927,0.188721,0,0,-2.45348,0.04,1
76,1.9589,0.314783,1.37999,0,0,-2.45348,0.04,1
77,0.485166,0.484833,0.899342,-6.93578,-9.27355,-4.60734,0.04,1
78,1.88219,1.18589,0.303981,2.31397,7.1233,4.95639,0.04,1
79,0.899696,1.13734,1.15173,0,0,-2.45348,0.04,1
80,1.56479,1.20654,0.190426,-35.4641,8.07015,1.45971,0.04,1
81,1.00605,1.24464,1.07162,13.8511,-8.43693,11.3858,0.04,1
82,0.332154,1.54061,0.738867,0,0,-2.45348,0.04,1
83,1.02646,1.75034,0.821646,0,0,-2.45348,0.04,1
84,0.954578,1.95872,0.100259,0,0,-2.45348,0.04,1
85,0.964024,0.63815,1.35997,0,0,-2.45348,0.04,1
86,0.573441,1.16728,0.444036,0,0,-2.45348,0.04,1
87,1.02642,1.02354,0.0495716,-12.0129,-0.345317,-0.512761,0.04,1
88,1.25064,1.88428,1.26747,0,0,-2.45348,0.04,1
