id,x,y,z,vx,vy,vz,r,m
0,1.85471,1.79307,1.07292,-2.42817,17.2942,11.0771,0.04,1
1,0.925929,1.18699,0.773674,-2.20811,-12.6436,2.07791,0.04,1
2,1.70752,0.54559,0.0954327,1.19518,2.8021,-12.1065,0.04,1
3,1.89548,1.66828,1.25528,-1.56173,3.95365,-0.966927,0.04,1
4,1.3877,1.73796,0.207574,11.546,9.6754,46.723,0.04,1
5,0.309659,0.524949,0.755239,-2.10433,-6.17025,-8.17376,0.04,1
6,2.04573,0.702565,1.79152,2.82208,19.5912,15.8631,0.04,1
7,1.22501,0.313086,0.303433,12.4528,-3.21661,9.74329,0.04,1
8,1.93567,1.9377,1.5031,-1.4937,-5.19125,19.8416,0.04,1
9,1.10493,1.99861,1.38846,58.1013,-107.42,3.7382,0.04,1
10,0.150062,0.322861,0.162644,-1.7908,3.99547,-18.0631,0.04,1
11,1.52588,1.48385,0.446826,-12.5525,6.21406,-3.67537,0.04,1
12,0.52513,0.289279,1.25185,12.3163,-3.73475,22.2854,0.04,1
13,0.973928,1.73133,1.37179,-0.492887,-3.19527,4.95554,0.04,1
14,0.195069,1.56125,0.526977,-7.59949,11.0421,-9.36169,0.04,1
15,0.115843,0.620029,1.80881,5.3563,0.220106,8.09351,0.04,1
16,1.21023,1.42782,0.198982,-0.385878,-2.95107,5.88562,0.04,1
17,1.45317,0.718888,1.20665,2.22156,11.0483,4.14941,0.04,1
18,1.24842,1.83926,0.75134,6.35017,4.79893,-5.37229,0.04,1
19,1.45544,1.0508,1.26749,18.6009,-1.481,3.0346,0.04,1
20,1.00453,0.568983,0.557969,-3.27158,-33.2151,-25.4939,0.04,1
21,1.49426,0.170711,1.30002,0.740391,-6.41934,16.4606,0.04,1
22,1.08639,1.66072,0.235425,-7.53384,-3.22,6.03876,0.04,1
23,1.41445,2.04084,1.57438,-1.9346,-6.195,-18.6683,0.04,1
24,1.01261,1.76951,1.82795,16.4713,5.90324,30.0071,0.04,1
25,1.29925,1.95877,0.766799,7.6421,-0.172968,8.17099,0.04,1
26,0.826085,0.101221,0.130974,3.70406,-13.329,-2.91487,0.04,1
27,1.39731,0.814236,0.231362,8.1576,1.40032,-6.47707,0.04,1
28,0.710007,0.670228,0.977221,43.046,13.1959,18.7923,0.04,1
29,1.10025,0.29242,0.895586,11.6866,3.50755,-6.8984,0.04,1
30,1.0252,1.31534,0.777453,15.2142,15.594,15.9758,0.04,1
31,1.35083,0.671778,1.8554,-20.8194,2.32959,4.76897,0.04,1
32,0.930628,0.0730795,0.0339311,-2.65228,4.27051,-8.22732,0.04,1
33,0.111707,1.26903,0.33835,9.57403,6.99962,18.3614,0.04,1
34,1.36575,1.73822,0.157565,2.18869,-19.2478,1.63137,0.04,1
35,0.352428,0.72688,0.992267,-20.8059,28.35,-12.8721,0.04,1
36,1.37419,0.554743,0.542304,-1.55221,4.66919,4.26483,0.04,1
37,0.0819191,1.43914,1.38016,25.0034,-8.14576,6.65462,0.04,1
